countryiso3code,date,gdp,gdp_per_capita,inflation,population
ABW,2015,2962906703.91061,27458.2201537506,0.474763597342641,107906.0
ABW,2016,2983637430.1676,27441.5502144601,-0.931195987079561,108727.0
ABW,2017,3092427932.96089,28440.0416881491,-1.02828178762012,108735.0
ABW,2018,3276187709.49721,30082.1584226798,3.62604141352961,108908.0
ABW,2019,3346623191.45988,30645.8906024548,4.25746204335428,109203.0
ABW,2020,2471419181.71957,22759.8071750722,0.474763597342641,108587.0
ABW,2021,2880902798.92288,26749.3296093118,0.474763597342641,107700.0
ABW,2022,3324034443.26581,30975.9989121779,0.474763597342641,107310.0
ABW,2023,3834729616.12027,35718.7531191634,0.474763597342641,107359.0
ABW,2024,4265650673.00236,39498.5941293797,0.474763597342641,107995.0
AFG,2015,19134221644.7325,565.569730408751,-0.661709164713742,33831764.0
AFG,2016,18116572395.0772,522.082215583898,4.38389195513915,34700612.0
AFG,2017,18753456497.8159,525.469770891619,4.97595150553833,35688935.0
AFG,2018,18053222687.4126,491.337221382603,0.626149149168847,36743039.0
AFG,2019,18799444490.1128,496.6025042585,2.30237251516834,37856121.0
AFG,2020,19955929052.1496,510.787063366811,5.60188791482224,39068979.0
AFG,2021,14259995441.0759,356.496214115892,5.13320340824963,40000412.0
AFG,2022,14497243872.1337,357.261152798144,13.7121023720065,40578842.0
AFG,2023,17152234636.8715,413.757894705303,-4.64470870797775,41454761.0
AFG,2024,18116572395.0772,496.6025042585,-6.60118564073726,42647492.0
AGO,2015,102543067840.732,3641.72893919944,9.35597215533784,28157798.0
AGO,2016,59878249719.3279,2051.81462126253,30.6944150806719,29183070.0
AGO,2017,84376935689.3366,2790.71886869768,29.8444799015679,30234839.0
AGO,2018,89512794227.495,2860.0936483682,19.6289379701521,31297155.0
AGO,2019,80734428592.5368,2493.67884440177,17.080954143438,32375632.0
AGO,2020,58852456453.8769,1759.35619918264,22.271539247051,33451132.0
AGO,2021,79559543805.2963,2303.90812662776,25.7542948841891,34532429.0
AGO,2022,131212208930.344,3682.1131513698,21.3552901320822,35635029.0
AGO,2023,107167747140.127,2916.13663284275,13.6441017767715,36749906.0
AGO,2024,100998916781.079,2665.87444776753,28.2404948915772,37885849.0
ALB,2015,11470171826.9575,4199.53912925398,1.89617402592366,2731293.0
ALB,2016,11988668784.6628,4457.63412207495,1.27543168367423,2689469.0
ALB,2017,13258268435.6048,5006.36012951959,1.98666133171194,2648285.0
ALB,2018,15379508329.7568,5897.65452588774,2.02805963071135,2607733.0
ALB,2019,15585111614.0376,6069.43903131027,1.41109078954251,2567801.0
ALB,2020,15241458744.5927,6027.91350716348,1.62088661717004,2528480.0
ALB,2021,18031989573.0294,7242.45513146613,2.04147163139545,2489762.0
ALB,2022,19017247013.8821,7756.96188744253,6.7252027153006,2451636.0
ALB,2023,23491242727.4082,9730.86921906893,4.75834555150039,2414095.0
ALB,2024,27046429296.6673,11377.7757431099,2.21587375089999,2377128.0
ARE,2015,381973042886.317,44910.334995523,4.06996608361593,8505237.0
ARE,2016,381717086453.37,42721.0999383185,1.61748808904198,8935095.0
ARE,2017,403365010211.028,43733.6192287435,1.96682557818842,9223225.0
ARE,2018,440560108917.631,47135.3591943971,3.06863379251997,9346701.0
ARE,2019,433926208304.969,45938.6073581994,-1.93108114782173,9445785.0
ARE,2020,357161878829.135,37991.7492971665,-2.07940317940944,9401038.0
ARE,2021,422441388699.796,44118.5047192771,0.179935336174431,9575152.0
ARE,2022,511403403675.97,50759.7589231191,5.29122604376849,10074977.0
ARE,2023,522622191967.325,49850.6872175164,1.62670837213248,10483751.0
ARE,2024,552324846834.581,50273.5060469837,1.66336510224894,10986400.0
ARG,2015,594749285413.212,13679.6264980954,53.5483043492339,43477012.0
ARG,2016,557532320662.955,12699.9623137756,53.5483043492339,43900313.0
ARG,2017,643628393281.364,14532.5009308511,53.5483043492339,44288894.0
ARG,2018,524819892360.176,11752.7998922979,34.2772237131003,44654882.0
ARG,2019,447754683615.225,9955.97478680428,53.5483043492339,44973465.0
ARG,2020,385740508436.965,8535.59938004389,42.0150947376509,45191965.0
ARG,2021,486564085480.036,10738.0179223384,48.4093786255199,45312281.0
ARG,2022,633993756301.08,13962.1894087223,72.430757531824,45407904.0
ARG,2023,649461687959.174,14261.8465667948,133.488935594175,45538401.0
ARG,2024,638365455340.04,13969.7836603737,219.883929014578,45696159.0
ARM,2015,10553337518.414,3512.39350276709,3.73169119261693,3004600.0
ARM,2016,10546136235.5219,3524.42476874707,-1.403607559009,2992300.0
ARM,2017,11527458709.0158,3869.05373867752,0.969553268816138,2979400.0
ARM,2018,12457940694.7395,4196.00562301769,2.52023382001638,2969000.0
ARM,2019,13619290539.2116,4597.22887399548,1.44344660770698,2962500.0
ARM,2020,12641698583.2152,4268.68093304583,1.21143577838465,2961500.0
ARM,2021,13878908628.9378,4685.17997128509,7.18483629443371,2962300.0
ARM,2022,19513506553.1251,6571.97445545099,8.64091108973855,2969200.0
ARM,2023,24185982215.6543,8159.08720967996,1.98041877615554,2964300.0
ARM,2024,25955275380.0321,8556.21406956719,0.269511978259125,3033500.0
ATG,2015,1437485185.18519,16077.6340769406,0.968993458825638,89409.0
ATG,2016,1489603703.7037,16556.8551801588,-0.489437796230499,89969.0
ATG,2017,1534855555.55556,16965.7288273816,2.43248789041363,90468.0
ATG,2018,1661529629.62963,18273.4270684912,1.20715793367008,90926.0
ATG,2019,1726448148.14815,18896.3721832248,1.43135598182984,91364.0
ATG,2020,1411637037.03704,15369.6082250401,0.625989707046719,91846.0
ATG,2021,1602125925.92593,17348.6006987182,2.06299638545334,92349.0
ATG,2022,1866566666.66667,20105.1989085164,7.53107834634288,92840.0
ATG,2023,2005785185.18518,21494.5474000727,5.06713865364213,93316.0
ATG,2024,2207622874.07407,23542.4526945578,6.19886698842116,93772.0
AUS,2015,1356805839935.9,56970.3613028094,1.50836672165921,23815995.0
AUS,2016,1211588128417.61,50084.4440606385,1.27699094497324,24190907.0
AUS,2017,1330890554614.09,54117.547718609,1.94864740944527,24592588.0
AUS,2018,1433144978761.67,57410.1737346009,1.91140094445691,24963258.0
AUS,2019,1398349602956.35,55194.7585097428,1.61076787290379,25334826.0
AUS,2020,1333336461648.09,51983.4523666382,0.846905537459305,25649248.0
AUS,2021,1560617493202.69,60758.9044397144,2.86391042204994,25685412.0
AUS,2022,1695627535475.8,65169.5191118657,6.59409671341846,26018721.0
AUS,2023,1734451264655.6,65058.3773146674,5.5970149253731,26659922.0
AUS,2024,1757022451652.83,64603.9856308464,3.1616142830575,27196812.0
AUT,2015,379546097300.633,43915.228020857,0.89656333526032,8642699.0
AUT,2016,393687359770.273,45061.4993920192,0.891591752655362,8736668.0
AUT,2017,414926138132.691,47163.7425775142,2.08126911385587,8797566.0
AUT,2018,452582294972.775,51194.0749841299,1.9983798142954,8840521.0
AUT,2019,442983642371.842,49885.9947355204,1.53089564152644,8879920.0
AUT,2020,434397601557.696,48716.4098900349,1.38191063351862,8916864.0
AUT,2021,480466363176.806,53648.6437976214,2.7666666666667,8955797.0
AUT,2022,473221298968.216,52336.7725223758,8.5468699318845,9041851.0
AUT,2023,516670509628.876,56579.504175468,7.81413417002832,9131761.0
AUT,2024,534790720466.822,58268.8787651601,2.93791574279383,9177982.0
AZE,2015,53076235354.746,5500.50364628486,4.02768573742726,9649341.0
AZE,2016,37866996882.9157,3880.6852276838,12.4433748584372,9757812.0
AZE,2017,40866627351.9817,4147.1981423222,12.9359184187335,9854033.0
AZE,2018,47112470051.7701,4739.7943123408,2.26854690373999,9939771.0
AZE,2019,48174235294.1176,4805.75371765917,2.61057182799215,10024283.0
AZE,2020,42693000000.0,4229.91064904503,2.75980947008127,10093121.0
AZE,2021,54825411764.7059,5408.04535175023,6.65029912708779,10137750.0
AZE,2022,78807470588.2353,7770.594223351,13.8522590144267,10141756.0
AZE,2023,72428470588.2353,7133.02838048328,8.78543049849081,10153958.0
AZE,2024,74315882352.9412,7283.8499076179,2.21217188919901,10202830.0
BDI,2015,2810532912.49975,254.402585226788,5.54468891259779,11047580.0
BDI,2016,2618093125.14687,232.937812100153,5.55768961400965,11239451.0
BDI,2017,2831362208.34039,246.060725714184,16.0525353030392,11506762.0
BDI,2018,2913411408.44783,245.661678332009,-2.81469807668465,11859446.0
BDI,2019,2871555326.31029,234.31061590725,-0.686772170797359,12255336.0
BDI,2020,3227847281.31544,255.8324539389,7.32110643415521,12617036.0
BDI,2021,3435598072.7935,264.980379269655,8.40453845076341,12965481.0
BDI,2022,4036192552.88879,302.992505263552,18.8008786664945,13321097.0
BDI,2023,3430949249.91221,250.627253097255,26.9414835762453,13689450.0
BDI,2024,3082433067.32634,219.424830882698,20.2124925027847,14047786.0
BEL,2015,461044767544.531,40893.804537772,0.561429152790065,11274196.0
BEL,2016,474271566739.729,41854.5498296444,1.97385264653181,11331422.0
BEL,2017,500908767351.53,44035.3239358548,2.12597086002607,11375158.0
BEL,2018,542638913427.921,47487.2100392561,2.05316499865186,11427054.0
BEL,2019,536726344405.489,46716.6227467964,1.43681956996429,11488980.0
BEL,2020,529694473501.791,45906.2875805246,0.740791812220344,11538604.0
BEL,2021,598522422241.851,51658.238294958,2.44024851144084,11586195.0
BEL,2022,591085783326.267,50605.7496677086,9.597511728725,11680210.0
BEL,2023,651330595110.011,55291.4754541329,4.04901077613941,11779946.0
BEL,2024,671370081636.406,56614.5679499036,3.14349136500041,11858610.0
BEN,2015,11388160996.7738,1002.41886879614,0.218785923536245,11360681.0
BEN,2016,11821065853.3838,1010.5338961993,-0.793310145785624,11697842.0
BEN,2017,12701655836.9467,1054.97408066814,0.0432648555103608,12039780.0
BEN,2018,14262408089.9261,1151.7409703472,0.919170717886054,12383347.0
BEN,2019,14391686313.4641,1130.82135339795,0.732849371241066,12726755.0
BEN,2020,15686741883.934,1200.19426557789,3.02272119663759,13070169.0
BEN,2021,17687623530.3355,1318.65158075198,1.73353962694036,13413417.0
BEN,2022,17425405090.862,1266.42711031904,1.35077863583527,13759501.0
BEN,2023,19673291004.1444,1394.17784721831,2.73870078406075,14111034.0
BEN,2024,21482643706.4249,1485.38018885134,1.16093089640415,14462724.0
