country,product,date,gross_production_value
Albania,Apples,2019,44706
Albania,Apples,2020,42404
Albania,Apples,2021,46173
Albania,Apricots,2019,3635
Albania,Apricots,2020,3835
Albania,Apricots,2021,3770
Albania,Barley,2019,2892
Albania,Barley,2020,4605
Albania,Barley,2021,5575
Albania,"Beans, dry",2019,45102
Albania,"Beans, dry",2020,46886
Albania,"Beans, dry",2021,40800
Albania,"Broad beans and horse beans, dry",2019,194
Albania,"Broad beans and horse beans, dry",2020,195
Albania,"Broad beans and horse beans, dry",2021,195
Albania,"Broad beans and horse beans, green",2019,107
Albania,"Broad beans and horse beans, green",2020,105
Albania,"Broad beans and horse beans, green",2021,103
Albania,Cabbages,2019,17241
Albania,Cabbages,2020,15904
Albania,Cabbages,2021,16927
Albania,Cantaloupes and other melons,2019,16161
Albania,Cantaloupes and other melons,2020,19913
Albania,Cantaloupes and other melons,2021,20113
Albania,Carrots and turnips,2019,5523
Albania,Carrots and turnips,2020,4799
Albania,Carrots and turnips,2021,4102
Albania,Cauliflowers and broccoli,2019,6359
Albania,Cauliflowers and broccoli,2020,5794
Albania,Cauliflowers and broccoli,2021,5884
Albania,Cherries,2019,21484
Albania,Cherries,2020,22346
Albania,Cherries,2021,24070
Albania,"Chestnuts, in shell",2019,7916
Albania,"Chestnuts, in shell",2020,7605
Albania,"Chestnuts, in shell",2021,6894
Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,25482
Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,30872
Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,29758
Albania,Cucumbers and gherkins,2019,69231
Albania,Cucumbers and gherkins,2020,62153
Albania,Cucumbers and gherkins,2021,64606
Albania,Dates,2019,4672
Albania,Dates,2020,4851
Albania,Dates,2021,4812
Albania,Eggplants (aubergines),2019,17148
Albania,Eggplants (aubergines),2020,19108
Albania,Eggplants (aubergines),2021,19519
Albania,Figs,2019,15412
Albania,Figs,2020,15318
Albania,Figs,2021,16862
Albania,Grapes,2019,124828
Albania,Grapes,2020,130853
Albania,Grapes,2021,139360
Albania,Green garlic,2019,22759
Albania,Green garlic,2020,31324
Albania,Green garlic,2021,27996
Albania,"Hen eggs in shell, fresh",2019,166343
Albania,"Hen eggs in shell, fresh",2020,165479
Albania,"Hen eggs in shell, fresh",2021,172752
Albania,Hop cones,2019,16951
Albania,Hop cones,2020,16989
Albania,Hop cones,2021,16929
Albania,Leeks and other alliaceous vegetables,2019,9986
Albania,Leeks and other alliaceous vegetables,2020,9859
Albania,Leeks and other alliaceous vegetables,2021,9998
Albania,Lemons and limes,2019,2716
Albania,Lemons and limes,2020,3060
Albania,Lemons and limes,2021,3273
Albania,Lettuce and chicory,2019,11744
Albania,Lettuce and chicory,2020,13740
Albania,Lettuce and chicory,2021,12901
Albania,Maize (corn),2019,121598
Albania,Maize (corn),2020,124778
Albania,Maize (corn),2021,129513
