country,product,date,gross_production_value
Albania,Other pulses n.e.c.,2022,926
Albania,Other pulses n.e.c.,2023,932
Albania,Other pulses n.e.c.,2024,928
Albania,"Other stimulant, spice and aromatic crops, n.e.c.",2022,547
Albania,"Other stimulant, spice and aromatic crops, n.e.c.",2023,552
Albania,"Other stimulant, spice and aromatic crops, n.e.c.",2024,557
Albania,"Other vegetables, fresh n.e.c.",2022,22696
Albania,"Other vegetables, fresh n.e.c.",2023,18900
Albania,"Other vegetables, fresh n.e.c.",2024,21011
Albania,Peaches and nectarines,2022,14659
Albania,Peaches and nectarines,2023,14962
Albania,Peaches and nectarines,2024,16407
Albania,Pears,2022,11236
Albania,Pears,2023,11076
Albania,Pears,2024,11660
Albania,"Peas, green",2022,5850
Albania,"Peas, green",2023,4759
Albania,"Peas, green",2024,4611
Albania,Plums and sloes,2022,17202
Albania,Plums and sloes,2023,15181
Albania,Plums and sloes,2024,15317
Albania,Potatoes,2022,78291
Albania,Potatoes,2023,81723
Albania,Potatoes,2024,82806
Albania,"Pumpkins, squash and gourds",2022,13714
Albania,"Pumpkins, squash and gourds",2023,12567
Albania,"Pumpkins, squash and gourds",2024,14850
Albania,Quinces,2022,3640
Albania,Quinces,2023,3470
Albania,Quinces,2024,3520
Albania,Raw milk of cattle,2022,323455
Albania,Raw milk of cattle,2023,300088
Albania,Raw milk of cattle,2024,283485
Albania,Raw milk of goats,2022,36416
Albania,Raw milk of goats,2023,33805
Albania,Raw milk of goats,2024,31454
Albania,Raw milk of sheep,2022,43219
Albania,Raw milk of sheep,2023,40375
Albania,Raw milk of sheep,2024,39028
Albania,Rye,2022,1275
Albania,Rye,2023,1233
Albania,Rye,2024,1198
Albania,"Seed cotton, unginned",2022,872
Albania,"Seed cotton, unginned",2023,877
Albania,"Seed cotton, unginned",2024,875
Albania,"Shorn wool, greasy, including fleece-washed shorn wool",2022,1020
Albania,"Shorn wool, greasy, including fleece-washed shorn wool",2023,983
Albania,"Shorn wool, greasy, including fleece-washed shorn wool",2024,974
Albania,Sour cherries,2022,10991
Albania,Sour cherries,2023,10939
