countryName,year,tavg,prcp,tmax,tmin
Afghanistan,2015,17.81447359140598,0.0,23.350594024619884,12.385102919476225
Afghanistan,2016,19.05365436427012,0.3,24.03346394095343,12.902734831505814
Afghanistan,2017,18.74754025877719,284.5,25.550560619699993,13.418745636607039
Afghanistan,2018,18.308044918285,163.0,25.147071038067473,12.019698031028575
Afghanistan,2019,17.34895627605881,974.1,23.54420698924731,11.214020920196035
Afghanistan,2020,16.53579669650582,695.9,22.85320949546772,10.425312402474725
Afghanistan,2021,17.499980341599006,1.0,24.719260204081632,11.071268286884646
Afghanistan,2022,17.530894204597512,544.6,24.63706681418087,11.502981463194597
Albania,2015,16.152124580104992,446.1,22.297454510768112,10.556391508327469
Albania,2016,16.527735417365562,579.6,22.502246712985034,11.46080281000053
Albania,2017,16.431611203806696,1120.1000000000001,22.677688878295108,10.61170196128823
Albania,2018,17.32042886026757,1337.4,23.33673332939462,12.058436014918218
Albania,2019,16.312844768731864,1312.1,22.526687788018435,11.151771846731526
Albania,2020,16.0613242079677,1080.8999999999999,22.541531331108636,10.646159415811807
Albania,2021,16.115000256016383,12744.6,22.00260938300051,10.878542946748592
Albania,2022,16.42391397849462,11639.2,22.57251081669227,11.04790770609319
Albania,2023,16.729642537122377,12979.7,22.754522465437788,11.555091397849461
Albania,2024,17.249960909927356,10373.0,23.446769887032865,11.881245115391483
Albania,2025,16.82786527137737,10836.2,22.638360484984084,11.659394293060842
Algeria,2015,17.13228391206529,3901.8,23.214965186580642,10.81876219779058
Algeria,2016,17.65758338762397,3060.2,23.552876907219943,11.634580320016958
Algeria,2017,17.614227564025086,2287.3,23.721670904356568,11.928419292967389
Algeria,2018,16.717833888673432,2938.5,22.28408104439758,11.36355833153967
Algeria,2019,16.763227043286772,2788.0,22.49120567828762,11.328287447668254
Algeria,2020,17.616777086631767,2046.5,23.67146328542454,11.88878674665757
Algeria,2021,17.665043650793653,4097.4,23.529957437275986,12.157333973374296
Algeria,2022,18.186733678955456,3135.9,23.994928891449053,12.379065668202765
Algeria,2023,17.817971326164873,3935.6,23.586923195084484,11.920412314388122
Algeria,2024,18.38166981831665,3169.0,23.993679376016463,12.54040472781829
Algeria,2025,17.778527905785968,4536.6,23.41732750896057,12.211194892473118
American Samoa,2015,27.410369318181818,0.0,30.0,27.0
American Samoa,2016,27.89605302187616,28706.0,30.353935545668026,25.80268168335187
American Samoa,2017,27.772738095238093,33944.0,30.19653481822837,25.535234895033284
American Samoa,2018,27.573982974910393,40385.0,30.010628520225293,25.36589797747056
American Samoa,2019,27.816923963133643,36701.0,30.21051459293395,25.72391705069124
American Samoa,2020,27.71099833147942,48626.0,30.311326782845136,25.427335001853912
