Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","113.832502","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","114.527725","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","113.437296","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","112.827883","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","111.659316","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","111.214302","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","110.406413","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","109.761771","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","109.569272","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","110.133214","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","111.711655","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","112.497627","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","113.490296","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","114.054183","X","Figure from external organization","base year is 2015"
